name,address,postcode,M,T,W,T,F,S,S,type name,Specialities
Persian Rug Village,34 Morningside Road,EH10 4DA,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,,Furniture,Rugs
Pie In The Sky,47 Cockburn Street,EH1 1BS,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,Antique ,
Quadrant ,47 Dundas Street,EH3 6RS ,,,,2 to 5,2 to 5,10 to 6 ,,Antique ,Mixed
Retro Morrison Street,190 Morrison Street,EH3 8EB,10 to 4,10 to 4,10 to 4,10 to 4,10 to 4,10 to 4,,Antique ,Mixed
Retrospect,58 Clerk Street,EH8 9JB,10 to 6,10 to 6,12 to 5,10 to 6,10 to 6,10 to 6,10 to 6,Collectables,Retro
Royal Mile Curios,363 High Street,EH1 1PW ,,10 to 5,10 to 5,10 to 5,10 to 5,10 to 5,,Antique ,Jewellery
Royal Mile Gallery,272 Canongate,EH8 8AA ,11 to 5,11 to 5,11 to 5,11 to 5,11 to 5,11 to 5,11 to 5,Furniture,Prints & Maps
Simon Scott,33 Roseburn Terrace,EH12 5NQ,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,,,Antique ,
Still Life,Candlemaker,EH1 2QE ,12 to 5,12 to 5,12 to 5,12 to 5,12 to 5,12 to 5,12 to 5,Antique ,Mixed
Stock Xchange,5 Young Street,EH2 4HU,,11 to 5,11 to 5,11 to 5,11 to 5,11 to 5,,Clothes,Clothing (Women)
Theodore David,25 Montagu Terrace,EH3 5QR,,10 to 4,10 to 4,10 to 4,10 to 4,11 to 4,,Antique ,Jewellery coins medals
Those Were The Days,28 St Stephen Street,EH3 5AL,,,,11 to 5 ,11 to 5 ,11 to 5 ,,Clothes,Clothing
Those Were The Days – Bridal,26 St Stephen Street,EH3 5AL,,,,10 to 5,10 to 5,10 to 5,,Clothes,Bridal
Tills Bookshop,1 Hope Park Crescent,EH8 9NA,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,10 to 5,,Books,Books
Tills Bookshop,1 Hope Park Crescent,EH8 9NA,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,10 to 6,12 to 5,Books,Books
Ugly Mugs,8 Canning Street Lane,EH3 8ER,,,,,12 to 5,12 to 5,,Clothes,Clothing
Unicorn,65 Dundas Street,EH3 6RS ,,,,12 to 4,12 to 4,12 to 4,,Antique ,Mixed
Victoria & George ,96 Bruntsfield Place,EH10 4ES,,,11 to 5,11 to 5,11 to 5,11 to 5,12 to 4,Furniture,Furniture
Vintage Wool Rugs,113 Newington Road,EH9 1QW,10 to 5,10 to 5,10 to 5,10 to 5,10 to 1 : 2 to 5,10 to 5,11 to 3,Furniture,Rugs
Yellow Souls,10 Croall Place,EH7 4LT,,,12 to 5,12 to 5,12 to 5,12 to 6,12 to 6,Clothes,Clothing
Young ,12 Bruntsfield Place,EH10 4HN ,,,,2 to 5,2 to 5,2 to 5,,Antique ,
